,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
165,보정한화꿈에그린,11,16,21,19,14,234
166,보평마을 삼정그린뷰 아파트,10,7,14,15,14,164
167,불곡마을벽산블루밍,2,1,12,1,9,61
168,삼라마이다스빌,11,6,11,8,8,136
169,삼성1차,32,32,52,49,39,581
170,삼성래미안,5,30,17,13,28,250
171,삼성래미안1차,18,17,41,32,19,364
172,삼성쉐르빌아파트,10,9,17,5,14,161
173,삼익리베리움,17,21,23,41,54,374
174,삼환,54,44,21,21,33,584
175,상현마을동일스위트,65,40,49,36,14,718
176,상현마을현대성우1차,57,44,47,37,13,689
177,상현엘지자이,35,35,33,32,11,489
