,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,Latitude,Longitude,이용가능시간,이용자 제한,지번주소,행정동
84,한국전력,신동백롯데캐슬에코2단지,2,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백죽전대로527번길 67,37.2649393,127.1626385,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 1101 신동백롯데캐슬에코2단지,동백3동
85,한국전력,신동백롯데캐슬에코2단지,3,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백죽전대로527번길 67,37.2649393,127.1626385,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 1101 신동백롯데캐슬에코2단지,동백3동
86,한국전력,신동백롯데캐슬에코2단지,4,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백죽전대로527번길 67,37.2649393,127.1626385,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 1101 신동백롯데캐슬에코2단지,동백3동
87,한국전력,신동백서해그랑블 1차,2,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백죽전대로 527번길 81,37.2649393,127.1626385,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 1102 신동백 서해그랑블 1차,동백3동
88,한국전력,신동백서해그랑블 1차,3,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백죽전대로 527번길 81,37.2649393,127.1626385,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 1102 신동백 서해그랑블 1차,동백3동
89,한국전력,신동아파밀리에,2,AC완속,경기도,용인시,경기도 용인시 기흥구 영덕동 흥덕3로 20,37.2714692,127.0840876,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 영덕동 1069 흥덕마을신동아파밀리에아파트,영덕1동
90,한국전력,신동아파밀리에,3,AC완속,경기도,용인시,경기도 용인시 기흥구 영덕동 흥덕3로 20,37.2714692,127.0840876,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 영덕동 1069 흥덕마을신동아파밀리에아파트,영덕1동
91,한국전력,신봉동부센트레빌6단지,1,AC완속,경기도,용인시,경기도 용인시 수지구 신봉동 신봉1로 216,37.3332126,127.0648895,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 신봉동 946 신봉마을 동부센트레빌 6단지,신봉동
92,한국전력,신봉엘지자이1차,2,AC완속,경기도,용인시,경기도 용인시 수지구 신봉동 신봉2로 26지하,37.3260322,127.0782523,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 신봉동 873 신봉마을엘지자이1차아파트,신봉동
93,한국전력,신봉엘지자이1차,3,AC완속,경기도,용인시,경기도 용인시 수지구 신봉동 신봉2로 26지하,37.3260322,127.0782523,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 신봉동 873 신봉마을엘지자이1차아파트,신봉동
94,한국전력,신봉엘지자이1차,4,AC완속,경기도,용인시,경기도 용인시 수지구 신봉동 신봉2로 26지하,37.3260322,127.0782523,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 신봉동 873 신봉마을엘지자이1차아파트,신봉동
95,한국전력,신정마을성지아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 풍덕천동 정평로 61,37.3214227,127.0866758,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 풍덕천동 1021 신정마을성지아파트,풍덕천2동
96,한국전력,심곡마을광교힐스테이트,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 수지로 75,37.3032495,127.0796515,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 상현동 1099 심곡마을 광교 힐스테이트,상현1동
97,한국전력,심곡마을광교힐스테이트,3,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 수지로 75,37.3032495,127.0796515,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 상현동 1099 심곡마을 광교 힐스테이트,상현1동
98,한국전력,심곡마을광교힐스테이트,4,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 수지로 75,37.3032495,127.0796515,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 상현동 1099 심곡마을 광교 힐스테이트,상현1동
99,한국전력,써니밸리 아파트,2,AC완속,경기도,용인시,경기도 용인시 기흥구 지곡동 사은로 274-22,37.2512824,127.1355454,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 지곡동 704 자봉마을 써니밸리,보라동
100,한국전력,양현마을풍림 아파트,2,AC완속,경기도,용인시,경기도 용인시 기흥구 산양로 17,37.2839692,127.1071072,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 신갈동 158 양현마을풍림신안아파트,신갈동
101,한국전력,에이스카운티,2,AC완속,경기도,용인시,경기도 용인시 처인구 이동면 백옥대로 737,37.192076,127.2068598,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 처인구 이동읍 천리 1142 에이스카운티아파트,이동읍
